1,699878, 1,5007701
0,0071401596, 1,3250113
-0,6681762, 1,145237
-1,1755581, 0,9614458
-1,5150049, 0,7736397
-1,686516, 0,58181
-1,690092, 0,38596058
-1,5257331, 0,39656925
-1,19344, 0,7336407
-0,69321394, 1,0005093
-0,037106037, 1,1897507
0,60073614, 1,3013897
1,107363, 1,3354092
1,4829669, 1,2918301
1,7275555, 1,1706505
1,8411155, 0,97182083
1,823662, 0,6954193
1,6751821, 0,34138107
1,3956838, 0,19884872
0,98516226, 0,5561104
0,44362307, 0,8374996
-0,4801731, 1,0259514
-1,4484339, 1,1215191
-1,9464254, 1,1241608
-1,9734347, 1,0338993
-1,5294497, 0,85074043
-0,69321394, 1,0005093
-0,037106037, 1,1897507
0,60073614, 1,3013897
1,107363, 1,3354092
1,4829669, 1,2918301
1,7275555, 1,1706505
1,8411155, 0,97182083
1,823662, 0,6954193
1,6751821, 0,34138107
1,3956838, 0,19884872
0,98516226, 0,5561104
0,44362307, 0,8374996
-0,4801731, 1,0259514
-1,4484339, 1,1215191
-1,9464254, 1,1241608
-1,9734347, 1,0338993
-1,5294497, 0,85074043
-0,69321394, 1,0005093
-0,037106037, 1,1897507
0,60073614, 1,3013897
1,107363, 1,3354092
1,4829669, 1,2918301
1,7275555, 1,1706505
1,8411155, 0,97182083
1,823662, 0,6954193
1,6751821, 0,34138107
1,3956838, 0,19884872
0,98516226, 0,5561104
0,44362307, 0,8374996
-0,4801731, 1,0259514
-1,4484339, 1,1215191
-1,9464254, 1,1241608
-1,9734347, 1,0338993
-1,5294497, 0,85074043
